kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,1,9.0,2.4,167.8,93.7,0.989,0.989,1.0,,,,
lamin_candidate,3,13.4,2.5,150.6,89.6,0.782,0.782,0.999,,,,
lamin_candidate,4,8.4,2.0,174.2,88.3,1.0,1.0,1.0,,,,
lamin_candidate,5,8.9,2.7,174.8,85.1,0.999,0.999,1.0,,,,
lamin_candidate,6,44.5,2.7,100.2,86.3,0.304,0.304,0.334,,,,
lamin_candidate,7,26.9,3.9,105.6,88.8,0.906,0.906,1.0,,,,
lamin_candidate,8,8.8,2.5,155.9,76.9,1.0,1.0,1.0,,,,
lamin_candidate,9,9.7,2.3,169.5,84.5,1.0,1.0,1.0,,,,
lamin_candidate,10,10.0,2.7,169.8,78.4,1.0,1.0,1.0,,,,
lamin_candidate,14,5.1,2.1,152.8,95.3,1.0,1.0,1.0,,,,
lamin_candidate,15,6.9,2.4,168.8,69.2,1.0,1.0,1.0,,,,
lamin_candidate,16,7.8,2.4,61.7,89.6,1.0,1.0,1.0,,,,
lamin_candidate,17,9.3,2.7,67.0,83.9,0.99,0.99,1.0,,,,
lamin_candidate,18,18.0,3.4,89.6,79.6,0.964,0.964,0.999,,,,
lamin_candidate,19,12.6,3.0,103.3,78.7,1.0,1.0,1.0,,,,
lamin_candidate,20,10.6,2.6,107.2,83.8,0.964,0.964,1.0,,,,
lamin_candidate,21,15.3,2.9,121.0,88.0,0.959,0.959,1.0,,,,
lamin_candidate,22,14.0,2.9,132.5,84.2,0.985,0.985,1.0,,,,
lamin_candidate,23,7.1,2.5,142.2,76.5,0.818,0.818,1.0,,,,
lamin_candidate,24,10.0,3.0,147.9,98.9,1.0,1.0,1.0,,,,
lamin_candidate,25,5.7,2.9,192.8,69.0,1.0,1.0,1.0,,,,
lamin_candidate,26,8.1,2.8,54.2,92.4,1.0,1.0,1.0,,,,
lamin_candidate,27,12.8,3.0,66.4,99.6,1.0,1.0,1.0,,,,
lamin_candidate,30,8.8,2.5,119.2,81.7,0.906,0.906,1.0,,,,
lamin_candidate,31,11.1,2.6,135.8,95.4,0.946,0.946,1.0,,,,
lamin_candidate,32,9.1,2.5,146.1,95.4,1.0,1.0,1.0,,,,
lamin_candidate,33,14.8,2.9,152.8,81.5,0.895,0.895,1.0,,,,
lamin_candidate,34,8.0,2.5,161.6,80.7,1.0,1.0,1.0,,,,
lamin_candidate,35,9.7,2.5,166.2,79.3,0.999,0.999,1.0,,,,
lamin_candidate,38,10.1,3.2,73.0,72.7,1.0,1.0,1.0,,,,
lamin_candidate,39,15.8,3.5,88.1,91.0,0.941,0.941,1.0,,,,
lamin_candidate,40,10.9,2.9,97.5,90.7,0.976,0.976,1.0,,,,
lamin_candidate,41,11.1,3.1,101.8,92.1,0.981,0.981,1.0,,,,
lamin_candidate,42,7.2,2.9,107.9,78.4,1.0,1.0,1.0,,,,
lamin_candidate,43,10.2,3.0,112.1,84.0,0.933,0.933,1.0,,,,
lamin_candidate,44,8.9,3.1,116.2,86.0,0.941,0.941,1.0,,,,
lamin_candidate,46,15.7,3.5,138.4,92.2,0.924,0.924,1.0,,,,
lamin_candidate,47,10.1,2.6,145.5,79.4,0.915,0.915,1.0,,,,
lamin_candidate,48,8.4,3.4,157.3,98.0,0.996,0.996,0.997,,,,
lamin_candidate,49,9.5,3.1,158.3,92.1,1.0,1.0,1.0,,,,
